code,dealerId,name,url,regionId,state,lat,long
42345,42345,Poe Toyota,https://www.poetoyota.com,60,TX,31.7877,-106.4061
42219,42219,Fox Toyota of El Paso,https://www.foxtoyotaofelpaso.com,60,TX,31.743006,-106.32843
42262,42262,AutoNation Toyota South Austin,https://www.autonationtoyotasouthaustin.com,60,TX,30.207361,-97.757719
42236,42236,Charles Maund Toyota,https://www.charlesmaundtoyota.com,60,TX,30.357687,-97.716387
42298,42298,Round Rock Toyota,https://www.roundrocktoyota.com,60,TX,30.53407,-97.69082
42344,42344,Toyota of Cedar Park,https://www.toyotaofcedarpark.com,60,TX,30.543361,-97.815361
42312,42312,Lost Pines Toyota,https://www.lostpinestoyota.com,60,TX,30.109985000000002,-97.357753
42407,42407,San Marcos Toyota,https://www.sanmarcostoyota.com,60,TX,29.815615,-97.997752
42278,42278,Toyota of Dallas,https://www.toyotaofdallas.com,60,TX,32.908279,-96.889419
42202,42202,Toyota of Richardson,https://www.toyotaofrichardson.com,60,TX,32.963767,-96.725302
42221,42221,Toyota of Plano,https://www.toyotaofplano.com,60,TX,33.082152,-96.848986
42320,42320,Lone Star Toyota of Lewisville,https://www.lonestartoyotalewisville.com,60,TX,33.02126,-96.98711
42057,42057,Toyota of Irving,https://www.toyotaofirving.com,60,TX,32.837997,-96.96956
42408,42408,John Eagle Sport City Toyota,https://www.sportcitytoyota.com,60,TX,32.862817,-96.662333
42296,42296,Cowboy Toyota,https://www.cowboytoyota.com,60,TX,32.799284,-96.681047
42268,42268,Texas Toyota of Grapevine,https://www.toyotaofgrapevine.com,60,TX,32.924339,-97.06938
42295,42295,Pat Lobb Toyota of McKinney,https://www.toyotaofmckinney.com,60,TX,33.167315,-96.643216
42346,42346,Longo Toyota of Prosper,https://www.longotoyotaofprosper.com,60,TX,33.220539,-96.833488
42343,42343,Family Toyota of Arlington,https://www.familytoyotaofarlington.com,60,TX,32.760693,-97.085869
42323,42323,Toyota of Denton,https://www.toyotaofdenton.com,60,TX,33.166383,-97.083054
42329,42329,South Toyota,https://www.southtoyotapm.com,60,TX,32.645554,-96.860383
